,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
DYNLRB1,3647,2466,1236,778,1293,404,753,1031,634,943,1338,1006,1468
MAP1LC3A,573,451,263,140,106,23,51,101,62,92,41,68,48
PIGU,1060,829,291,150,273,221,442,323,206,302,597,429,694
TP53INP2,488,416,157,90,18,43,97,420,214,359,75,75,102
NCOA6,752,677,268,156,21,319,571,802,387,728,937,648,1243
HMGB3P1,0,0,0,0,0,0,0,0,0,0,0,0,0
GGT7,1118,892,385,246,55,93,180,172,111,154,139,156,124
ACSS2,2320,1587,983,649,154,311,483,1139,681,961,686,605,729
GSS,2465,1828,719,513,467,505,769,759,443,573,1003,818,1039
MYH7B,47,52,10,2,2,2,1,0,0,1,3,2,2
MIR499A,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR499B,0,0,0,0,0,0,0,0,0,0,0,1,0
TRPC4AP,2027,1781,721,532,445,604,1114,1852,941,1562,1468,1398,1592
EDEM2,1820,1362,663,464,422,308,568,590,310,490,719,589,696
PROCR,3348,2490,1214,723,400,618,934,1218,761,1183,1313,1352,1222
MMP24,1857,1413,234,183,467,710,1110,348,160,306,605,786,582
EIF6,3676,2764,932,945,2450,1005,1417,1874,1023,1602,1914,2044,1521
FAM83C,0,0,0,0,0,0,0,0,1,1,0,0,0
GDF5,0,0,0,0,0,0,0,0,0,0,0,0,0
CEP250,1253,853,290,260,232,416,702,660,325,631,837,727,861
C20orf173,1,0,0,0,0,0,0,0,0,0,0,0,0
ERGIC3,5736,4145,1620,1154,1818,946,1620,2036,1196,1792,2173,1869,2083
SPAG4,483,352,174,132,20,12,19,40,26,19,21,20,25
CPNE1,3763,2953,1105,804,740,644,1040,1247,650,1073,1149,1212,1144
RBM12,767,680,136,118,82,366,596,848,370,718,1177,876,1368
NFS1,788,639,206,142,88,240,407,358,190,350,534,427,627
ROMO1,3623,1414,1684,687,1189,279,433,468,336,460,354,510,336
RBM39,4583,4469,1736,829,282,1217,2045,2547,1236,2362,3422,2805,4429
PHF20,561,474,164,111,61,210,425,474,229,451,519,425,602
SCAND1,2723,1624,926,491,1126,214,331,313,177,241,198,248,139
CNBD2,3,2,1,0,0,1,2,0,0,0,0,0,1
EPB41L1,3286,2792,829,430,307,1165,2045,1732,887,1510,2148,1556,2709
AAR2,887,737,267,140,218,258,445,517,274,469,673,601,549
DLGAP4,2112,1511,850,460,217,325,570,1194,663,1062,842,681,852
MYL9,2,3,1,0,17,6,9,12,7,14,2,6,3
TGIF2,282,218,74,45,37,33,70,125,52,85,93,110,96
SLA2,4,4,3,0,0,0,1,0,0,1,0,0,0
NDRG3,1183,943,344,222,156,296,483,614,257,462,701,530,960
DSN1,557,418,92,67,98,224,398,229,92,199,528,460,638
SOGA1,401,272,90,53,75,330,509,479,251,469,466,407,428
SAMHD1,65,89,165,106,5,120,206,1613,744,1403,2398,1681,2864
RBL1,141,126,38,16,8,181,326,238,125,223,435,373,586
MROH8,37,40,12,4,10,8,28,13,2,17,16,15,26
RPN2,8772,7123,2636,2033,951,1977,3463,5413,2754,4343,5799,4240,6709
GHRH,0,0,0,0,0,0,0,0,0,0,0,0,0
MANBAL,1964,1571,550,410,754,451,735,652,327,607,924,870,780
SRC,12112,9749,3924,2710,910,2916,4977,5963,3523,5767,4316,4306,3783
BLCAP,951,795,225,179,128,208,362,487,236,441,484,451,448
NNAT,8,8,2,0,0,0,0,0,0,0,0,0,0
LINC00489,0,0,0,0,0,0,0,0,0,0,0,0,0
LOC100287792,0,0,0,0,1,0,0,0,0,0,0,0,0
CTNNBL1,1658,1038,543,419,712,385,642,1351,730,1199,1303,1138,1503
VSTM2L,452,322,45,49,17,11,14,28,15,31,32,26,16
TTI1,649,580,192,122,136,284,474,511,221,420,708,564,798
RPRD1B,419,446,117,81,21,196,320,515,260,506,536,516,677
TGM2,6306,5616,3386,2137,559,2112,3954,26737,15935,22294,24952,21020,22217
KIAA1755,1,1,2,2,1,0,1,1,0,0,1,5,0
BPI,0,0,0,0,0,0,0,0,0,0,0,0,0
LBP,171,135,101,68,0,2,6,18,13,16,23,17,36
SNORA71B,1,2,0,1,0,1,4,1,1,3,1,4,3
SNORA71A,7,5,0,1,0,0,0,2,0,1,2,2,0
SNORA71C,4,2,1,0,1,4,4,4,2,2,2,3,3
SNORA71D,0,0,0,0,0,0,1,0,0,0,0,0,0
SNHG11,327,240,98,63,122,40,50,57,35,45,59,80,70
SNORA60,7,7,2,0,0,2,2,2,1,2,2,0,3
RALGAPB,751,783,216,134,59,426,749,1009,429,833,1225,901,1548
ADIG,0,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP40,0,0,1,0,0,0,0,0,0,0,0,0,1
SLC32A1,0,0,0,0,0,0,0,0,0,0,0,0,0
ACTR5,442,276,141,94,82,110,160,154,68,131,213,177,257
PPP1R16B,33,22,6,10,7,22,35,11,5,8,20,19,24
FAM83D,413,354,54,39,24,537,716,881,329,680,833,733,875
DHX35,221,167,40,34,9,78,116,151,73,137,223,171,228
MAFB,0,1,1,0,0,0,1,1,1,4,3,2,0
TOP1,1367,1432,451,274,23,521,951,2841,1208,2544,2688,2122,3381
PLCG1,1558,1227,594,370,108,335,571,514,248,501,639,567,633
ZHX3,183,144,51,36,26,85,146,209,76,207,177,157,213
LPIN3,1354,1144,345,248,110,146,289,249,126,204,216,237,218
EMILIN3,5,3,0,0,1,2,4,1,1,0,4,4,7
CHD6,682,701,220,120,31,400,760,886,456,756,1045,772,1178
PTPRT,0,0,0,0,0,0,0,0,0,0,0,0,0
SRSF6,4230,3922,1449,702,218,887,1476,1567,718,1436,2171,1797,2679
L3MBTL1,99,77,36,23,3,14,19,12,8,19,15,23,12
SGK2,237,218,58,39,39,85,129,68,34,74,77,75,77
IFT52,458,490,155,81,58,160,328,378,181,248,461,380,499
MYBL2,952,620,146,137,1152,583,940,762,374,693,896,847,753
GTSF1L,0,0,0,0,0,0,0,0,0,0,0,0,0
TOX2,123,96,64,39,21,54,78,99,45,86,112,110,138
JPH2,3,7,3,1,6,12,13,28,13,25,7,20,10
GDAP1L1,3,0,0,0,0,0,0,2,0,2,1,0,1
FITM2,37,41,23,6,21,52,100,46,33,49,57,38,64
R3HDML,12,6,1,0,1,0,1,0,0,1,0,1,0
