,Series3_A549_Mock_1,Series3_A549_Mock_2,Series3_A549_RSV_1,Series3_A549_RSV_2,Series8_A549_Mock_1,Series8_A549_Mock_2,Series8_A549_Mock_3,Series8_A549_RSV_1,Series8_A549_RSV_2,Series8_A549_RSV_3,Series8_A549_HPIV3_3,Series8_A549_HPIV3_2,Series8_A549_HPIV3_1
WASF3,7,6,3,2,0,2,4,3,0,5,4,3,4
GPR12,0,0,0,0,0,0,0,0,0,0,0,0,0
USP12,342,364,118,56,26,147,299,825,323,832,605,483,691
RPL21,0,0,0,0,0,0,0,0,0,0,0,0,0
RPL21P28,0,0,0,0,0,0,0,0,0,0,0,0,0
SNORD102,8,13,4,2,3,3,7,2,3,3,8,5,7
SNORA27,10,13,0,1,0,0,3,1,2,1,2,6,2
RASL11A,83,52,16,6,6,6,11,48,17,40,11,7,12
GTF3A,1594,1365,412,243,584,412,630,803,331,696,1049,873,1267
MTIF3,651,568,196,95,116,89,169,188,110,152,298,234,471
LNX2,46,52,12,5,5,48,103,110,52,124,143,113,179
POLR1D,2548,2108,751,423,362,381,629,775,421,690,986,764,1053
GSX1,0,0,0,0,0,0,0,0,0,0,0,0,0
PDX1,0,2,1,0,1,2,2,2,1,1,1,2,2
CDX2,13,17,2,5,3,3,19,10,10,10,9,6,4
FLT3,0,0,0,0,0,0,0,0,0,0,0,0,0
PAN3-AS1,17,8,4,1,3,5,14,6,5,18,11,12,19
PAN3,210,254,66,24,5,109,169,230,101,191,282,222,346
FLT1,0,0,0,0,0,0,0,0,0,0,1,0,2
POMP,1909,1723,726,368,448,399,674,1345,596,1193,1014,1059,1242
SLC46A3,220,264,118,42,21,33,96,231,108,180,86,62,135
MTUS2,0,1,1,0,0,0,0,1,0,0,0,0,0
MTUS2-AS1,0,0,2,0,0,0,0,0,0,0,0,0,0
SLC7A1,346,374,171,130,82,550,840,2187,1116,2019,1525,1420,1647
UBL3,210,212,56,32,11,102,220,203,85,164,285,194,303
LINC00297,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00544,0,0,0,0,0,0,0,0,0,0,0,0,0
KATNAL1,231,188,50,30,21,88,163,167,88,202,278,203,384
LINC00426,3,1,0,0,0,0,0,0,0,0,0,0,0
HMGB1,3929,3861,1411,693,593,1803,3136,3119,1399,2960,4972,4164,5803
USPL1,245,346,92,35,16,116,233,415,177,396,451,294,555
ALOX5AP,0,3,0,0,9,8,8,32,9,33,22,13,24
LINC00398,0,0,0,0,0,0,0,0,0,0,0,0,0
TEX26-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
MEDAG,0,0,0,0,0,0,0,1,1,0,0,0,3
TEX26,0,0,0,0,0,0,0,0,0,0,0,0,0
HSPH1,1403,1807,542,312,245,1415,2394,10918,4254,9216,4904,3653,6126
RXFP2,0,0,0,0,0,0,0,0,0,0,0,0,0
EEF1DP3,0,0,0,0,0,0,0,0,0,0,0,0,0
FRY,30,26,9,4,0,3,8,0,0,0,6,4,2
ZAR1L,0,0,0,0,0,0,0,3,0,0,0,2,0
BRCA2,70,76,28,9,5,110,205,172,69,158,441,311,487
N4BP2L1,19,18,8,2,0,1,10,9,5,6,0,7,7
N4BP2L2,768,953,297,163,59,132,282,486,222,489,564,398,661
MINOS1P1,3,4,0,0,0,0,1,0,0,1,0,0,0
N4BP2L2-IT2,44,48,18,10,1,2,5,11,1,6,12,10,22
PDS5B,357,326,98,61,10,177,350,474,181,387,642,470,808
LINC00423,1,0,0,0,0,0,0,0,0,0,0,0,0
KL,0,0,0,0,0,0,0,1,1,2,0,0,0
STARD13,93,102,36,26,5,53,78,289,142,249,166,144,167
STARD13-AS,2,2,0,0,0,0,0,1,0,0,0,0,1
RFC3,281,264,33,21,45,261,441,286,120,241,581,507,760
LINC00457,0,0,0,0,0,0,0,0,0,0,0,0,0
NBEA,232,299,36,20,9,147,265,207,90,160,302,201,388
MAB21L1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR548F5,0,0,0,0,0,0,0,0,0,0,0,0,0
DCLK1,9,20,3,4,2,4,4,140,74,127,84,55,77
SOHLH2,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC169-SOHLH2,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC169,0,0,0,0,0,0,0,0,0,0,0,0,1
CCNA1,2,0,0,0,0,0,1,4,0,1,1,1,0
SERTM1,0,0,0,0,0,0,0,0,0,0,0,0,0
RFXAP,59,69,22,9,2,14,13,25,7,27,22,23,32
SMAD9,11,6,1,0,0,0,1,0,1,0,1,0,0
ALG5,440,573,171,84,112,130,252,367,162,284,471,357,613
EXOSC8,638,479,138,118,134,148,241,295,126,248,407,365,419
SUPT20H,739,588,284,119,46,236,316,645,274,539,674,501,791
CSNK1A1L,0,0,0,0,0,0,0,0,0,0,2,1,0
LINC00547,0,0,0,0,0,0,0,0,0,0,0,0,0
POSTN,0,0,0,0,0,0,0,0,0,2,0,0,0
TRPC4,0,0,0,0,0,0,0,0,0,0,1,0,3
LINC00571,0,0,0,0,0,0,0,2,0,1,0,0,0
UFM1,922,836,284,132,48,193,315,770,367,802,658,639,800
LINC00366,0,0,0,0,0,0,0,0,0,0,0,0,0
FREM2,0,0,0,0,0,0,0,0,0,0,0,0,1
STOML3,0,0,0,0,0,0,0,0,0,0,0,0,0
PROSER1,386,323,137,62,33,183,360,519,228,427,665,415,803
NHLRC3,236,244,69,40,11,61,99,178,67,136,176,155,231
COG6,207,258,61,27,5,105,153,212,104,215,267,206,287
MIR4305,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00332,0,1,0,0,0,0,0,0,0,0,0,0,0
LINC00548,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00598,1,1,0,0,0,0,0,2,1,2,1,2,3
FOXO1,98,88,47,19,6,27,55,61,34,62,80,64,119
MIR320D1,0,0,1,0,0,0,0,0,0,0,0,0,0
MRPS31,555,413,221,109,68,85,126,263,113,170,252,175,315
SLC25A15,205,195,54,48,54,83,170,175,67,168,248,234,260
TPTE2P5,20,15,7,1,0,3,0,6,0,0,3,1,9
MIR621,0,0,0,0,0,0,0,0,0,0,0,0,0
SUGT1P3,1,0,0,1,0,0,0,0,0,0,0,0,0
ELF1,332,407,113,61,3,218,393,779,301,634,972,588,1138
WBP4,326,354,82,51,49,54,133,221,113,236,207,225,329
KBTBD6,102,114,17,18,21,67,113,120,59,112,173,184,248
KBTBD7,32,25,11,4,1,25,96,50,22,36,85,81,95
MTRF1,231,219,95,49,4,51,81,76,30,76,83,101,159
NAA16,323,289,64,29,5,62,145,210,107,209,233,196,250
OR7E37P,0,0,0,0,0,0,0,0,0,0,0,0,0
RGCC,88,122,22,11,6,7,11,5,1,4,8,8,11
VWA8,299,350,104,51,13,135,272,429,157,302,417,287,535
MIR5006,0,1,0,0,0,0,1,0,0,0,0,0,0
VWA8-AS1,0,0,0,0,0,0,0,1,0,1,0,1,0
DGKH,25,21,6,8,6,19,30,93,55,80,60,58,100
AKAP11,201,231,52,22,4,236,413,507,215,456,740,517,1022
TNFSF11,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM216B,0,0,0,0,0,0,0,0,0,0,0,0,0
EPSTI1,3,3,3,1,0,0,0,37,17,21,48,44,69
DNAJC15,86,109,57,17,2,1,0,7,1,1,2,5,7
ENOX1,20,16,12,12,0,7,11,17,15,17,16,12,28
CCDC122,55,63,15,2,2,18,29,37,17,39,51,51,66
LACC1,91,116,43,11,2,18,49,202,95,195,147,116,180
LINC00284,186,146,23,6,4,2,23,2,0,2,21,6,11
SMIM2-IT1,2,1,0,0,0,0,0,0,0,0,1,0,2
SERP2,0,0,0,0,0,0,0,0,0,0,0,0,0
TSC22D1,3962,4077,941,602,93,641,1417,1841,998,1526,2179,1801,2491
TSC22D1-AS1,23,21,7,7,1,3,8,3,2,2,6,5,7
LINC00330,0,0,0,0,0,0,0,0,1,0,0,0,0
NUFIP1,153,160,67,26,16,58,90,118,37,103,206,106,203
GTF2F2,585,577,177,67,43,162,230,432,192,415,459,411,545
KCTD4,0,0,0,0,0,0,0,0,0,0,0,0,0
TPT1,48421,49771,13451,8322,4307,6030,11045,17315,9288,15338,18930,13703,24909
SNORA31,79,74,35,14,3,3,1,4,0,2,6,1,4
TPT1-AS1,179,200,76,44,25,22,27,68,30,39,48,39,30
SLC25A30,156,145,67,38,6,83,171,267,156,278,294,240,359
COG3,472,373,145,60,14,132,229,311,151,331,430,330,595
SPERT,4,10,5,3,2,0,0,1,0,0,0,0,0
SIAH3,0,0,0,0,0,0,0,0,0,0,0,0,0
ZC3H13,714,881,136,149,44,356,575,769,332,730,1205,809,1563
CPB2-AS1,4,13,0,0,0,1,3,1,1,1,3,2,5
CPB2,54,62,6,2,0,0,1,0,0,0,1,0,0
LCP1,4,9,3,5,0,3,2,69,26,68,7,8,7
LINC00563,0,0,0,0,0,0,0,0,0,0,0,0,0
LRCH1,294,303,147,72,10,144,252,420,214,375,629,424,759
ESD,1528,1650,501,343,186,354,523,634,276,605,950,764,1164
HTR2A,0,0,0,0,0,0,0,0,0,0,0,0,0
SUCLA2,331,364,72,72,12,210,415,519,211,462,618,420,824
NUDT15,605,488,111,58,75,189,317,344,155,290,414,410,493
MED4,348,339,111,48,48,137,298,349,192,375,427,492,573
MED4-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
ITM2B,3342,4232,1318,585,189,645,1356,2146,991,1878,2688,1924,3324
RB1,358,359,76,42,12,192,482,621,297,623,773,604,1071
LPAR6,83,119,53,26,7,14,41,49,27,57,55,50,92
RCBTB2,22,35,11,4,1,9,25,34,9,31,26,22,38
LINC00462,0,0,0,0,0,0,0,0,0,0,0,0,0
CYSLTR2,0,0,0,0,0,0,0,0,0,0,0,0,0
FNDC3A,293,411,158,78,6,235,461,1332,586,1183,1572,1033,1842
MLNR,11,3,2,1,0,3,7,9,3,3,9,3,7
CDADC1,152,120,33,14,10,28,57,31,19,26,85,71,103
CAB39L,110,77,41,22,12,20,37,102,47,92,84,56,88
SETDB2,93,114,46,12,7,31,52,66,39,57,122,79,119
PHF11,245,275,275,111,17,31,47,214,81,170,339,200,432
RCBTB1,323,317,66,36,2,128,244,246,104,218,329,243,409
ARL11,0,0,0,0,0,0,0,0,0,0,0,0,0
EBPL,1020,867,350,212,171,159,228,239,84,210,347,322,437
KPNA3,220,308,62,48,43,305,531,873,359,777,910,677,1133
CTAGE10P,1,1,0,0,0,0,0,0,0,0,0,0,0
SPRYD7,319,246,170,55,47,95,154,370,191,397,283,265,367
DLEU2,31,24,6,6,6,21,30,21,8,24,38,43,55
MIR3613,0,1,0,0,0,0,1,1,0,0,0,0,0
TRIM13,316,435,91,74,44,97,168,155,71,162,221,221,269
KCNRG,5,6,3,0,1,1,4,1,2,1,4,4,6
MIR16-1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR15A,0,0,0,0,0,0,1,0,0,0,0,0,0
DLEU1,170,191,28,18,18,65,88,66,24,47,148,114,175
ST13P4,0,0,1,0,0,0,2,4,1,2,0,4,0
DLEU7,0,0,0,0,0,0,0,0,0,0,0,0,0
DLEU7-AS1,0,4,2,0,0,0,0,0,0,0,0,0,0
RNASEH2B-AS1,0,4,0,0,0,0,0,0,0,0,0,0,0
RNASEH2B,296,382,110,46,111,117,201,161,78,170,342,260,442
GUCY1B2,156,94,30,20,17,12,22,17,7,12,31,21,41
FAM124A,42,41,26,13,14,28,33,29,14,19,59,56,58
SERPINE3,5,0,0,0,0,0,1,0,0,0,0,1,1
MIR5693,0,0,0,0,0,0,0,0,0,0,0,0,0
INTS6,290,344,153,54,8,121,236,478,207,437,521,362,675
MIR4703,0,0,0,0,0,0,0,0,0,0,0,0,0
WDFY2,163,180,95,78,15,53,116,288,118,272,218,181,223
DHRS12,205,187,82,61,41,21,35,35,24,31,68,35,58
CCDC70,0,0,0,0,0,0,0,1,2,0,0,0,0
ATP7B,215,222,59,36,3,75,108,97,55,85,134,119,127
ALG11,24,20,6,3,1,21,48,91,30,93,83,76,110
UTP14C,127,165,50,26,4,116,216,330,162,303,413,293,531
NEK5,2,7,0,1,0,1,0,0,0,1,0,1,3
NEK3,193,162,86,53,18,30,71,179,66,150,167,121,227
MRPS31P5,77,66,20,11,3,15,24,35,20,30,49,51,61
THSD1,104,84,19,22,9,48,71,214,97,183,137,113,141
VPS36,572,508,149,95,19,146,298,388,188,343,576,432,734
CKAP2,301,322,77,35,24,418,727,658,302,663,1184,817,1574
TPTE2P3,0,0,0,0,0,0,1,0,0,0,0,0,0
HNRNPA1L2,136,100,40,21,6,41,67,65,29,72,116,100,129
SUGT1,900,838,246,163,140,213,387,880,440,868,695,637,1032
MIR759,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH8,0,0,0,0,0,0,0,0,0,0,0,0,0
OLFM4,0,0,3,1,0,0,0,0,0,0,0,0,0
LINC00558,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR1297,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR5007,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20A,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20C,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20E,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20D,0,0,0,0,0,0,0,0,0,0,0,0,0
PRR20B,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH17,5,9,0,1,0,0,1,0,0,0,0,0,0
DIAPH3,62,99,7,8,12,132,275,285,118,259,414,278,483
DIAPH3-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
DIAPH3-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0
TDRD3,262,275,80,45,44,63,104,102,63,121,179,131,228
MIR3169,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH20,0,0,0,0,0,0,0,0,0,0,0,1,0
OR7E156P,0,0,0,0,0,0,0,0,0,0,0,0,0
PCDH9,255,332,48,18,6,289,464,210,83,188,473,373,569
PCDH9-AS2,0,1,0,0,0,0,0,0,0,0,0,0,0
PCDH9-AS3,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00550,0,0,0,0,0,0,0,0,0,0,0,0,0
KLHL1,0,0,0,0,0,0,0,0,0,0,0,0,0
ATXN8OS,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00348,0,0,0,0,0,0,0,0,0,0,0,0,0
DACH1,0,0,0,0,0,0,0,0,0,0,0,0,0
MZT1,308,229,53,34,4,59,153,134,72,144,169,163,183
BORA,69,103,23,9,21,87,113,165,64,140,253,222,254
DIS3,318,406,78,43,29,240,432,757,315,617,914,625,1192
PIBF1,167,242,65,14,2,51,109,169,75,143,220,186,316
KLF5,1290,1188,322,180,16,380,875,831,500,897,1507,920,2040
KLF12,84,74,24,6,4,55,118,104,51,94,168,123,235
LINC00381,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00347,0,0,0,0,0,0,0,0,0,0,0,0,0
CTAGE11P,0,0,0,0,0,1,0,0,0,0,0,1,0
TBC1D4,226,284,47,27,20,206,380,287,121,269,605,503,734
COMMD6,1383,1452,297,253,446,197,348,339,168,309,494,364,698
UCHL3,288,271,73,53,87,131,191,380,182,316,370,348,492
LMO7,1452,1258,615,324,14,473,909,1588,891,1328,2436,1650,3354
KCTD12,66,43,15,6,3,30,41,36,24,38,68,49,74
BTF3P11,0,0,0,0,0,0,0,0,0,0,0,0,0
CLN5,332,288,91,61,28,68,170,228,106,215,272,237,321
FBXL3,120,125,22,18,8,98,208,254,129,232,395,301,428
MYCBP2,315,303,116,74,6,250,421,919,356,686,1009,788,1365
MYCBP2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
SCEL,42,49,7,3,0,5,7,8,8,11,41,26,28
SLAIN1,61,49,12,8,3,10,26,19,9,13,36,25,54
MIR3665,0,0,0,0,0,0,0,0,0,0,0,0,0
EDNRB,0,0,0,0,0,0,0,5,1,6,0,0,0
LINC00446,0,0,0,0,0,0,0,0,0,0,0,0,0
POU4F1,87,101,45,18,4,21,24,61,28,56,39,37,53
RNF219,54,99,14,9,12,93,203,228,106,213,328,294,543
LINC00331,0,0,0,0,0,0,0,0,0,0,0,0,0
RBM26,364,334,133,59,13,220,407,558,276,548,934,636,1164
RBM26-AS1,10,13,3,0,1,1,1,1,2,2,2,3,4
NDFIP2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
NDFIP2,337,343,83,33,10,139,280,307,171,354,458,352,498
SPRY2,154,142,56,29,2,58,90,165,63,154,224,193,246
SLITRK1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00333,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00351,0,0,0,0,0,0,0,0,0,0,0,0,0
SLITRK6,55,67,21,5,0,12,34,1,1,2,32,33,65
MIR4500HG,3,3,1,0,0,0,0,0,0,0,0,0,0
MIR4500,0,0,0,0,0,0,0,0,0,0,0,0,0
SLITRK5,89,111,32,6,8,33,54,27,10,19,76,38,80
LINC00433,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00353,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00559,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR622,0,1,1,0,0,0,1,0,0,0,0,0,0
LINC00410,0,4,0,0,1,1,1,0,0,1,0,0,0
LINC00379,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR17HG,120,106,24,15,9,17,41,28,20,23,58,60,84
MIR17,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR18A,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR19A,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR20A,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR19B1,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR92A1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC5,0,2,0,0,0,0,0,1,0,0,0,1,0
GPC5-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
GPC6,137,184,26,22,29,106,257,443,224,415,335,243,414
GPC6-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0
DCT,2,1,0,0,0,0,0,0,0,0,0,0,0
TGDS,188,196,35,27,5,47,84,139,74,178,212,199,271
GPR180,129,176,75,31,16,93,215,709,354,715,437,340,590
SOX21,48,52,8,6,0,11,20,3,2,4,42,23,64
ABCC4,801,1180,234,122,37,522,1025,792,358,656,1203,898,1552
CLDN10,3,5,5,1,0,1,2,1,0,1,1,0,2
CLDN10-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
DZIP1,668,622,245,117,48,151,222,260,122,203,356,273,445
DNAJC3,1047,877,287,180,29,184,358,944,390,872,923,738,1092
UGGT2,473,528,222,99,11,110,197,436,198,365,455,316,531
HS6ST3,0,0,1,0,0,0,1,1,1,3,0,0,0
LINC00359,0,0,0,0,0,0,0,0,0,0,0,0,0
OXGR1,0,0,0,0,0,0,0,0,0,0,1,0,0
MBNL2,186,147,27,38,18,133,297,571,322,592,723,507,960
RAP2A,73,121,26,19,8,78,200,216,84,210,308,226,379
IPO5,1726,1879,435,200,219,955,1647,2506,916,2066,3074,2224,3686
FARP1,486,381,192,85,69,141,197,214,104,190,245,177,245
RNF113B,3,0,0,0,0,0,0,0,0,0,0,0,0
MIR3170,0,0,0,0,0,0,0,0,0,0,0,0,0
STK24,1374,1477,496,245,140,363,779,1108,542,988,1328,939,1740
SLC15A1,0,1,0,0,0,0,1,0,0,0,0,1,0
DOCK9,389,473,125,102,6,280,430,640,284,501,752,574,907
UBAC2-AS1,12,2,4,0,9,9,25,15,3,10,13,20,26
UBAC2,1964,1602,496,407,387,358,630,750,417,711,890,803,958
MIR548AN,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR18,0,0,0,0,0,0,0,0,0,0,0,0,0
GPR183,0,0,0,0,0,0,0,0,0,0,0,0,0
FKSG29,0,0,0,0,0,0,2,1,0,0,1,0,1
MIR623,0,0,0,0,0,0,0,0,0,0,0,0,0
TM9SF2,1430,1866,450,229,117,644,1236,2383,981,2037,2364,1794,2818
CLYBL,128,123,52,28,12,14,34,20,18,27,24,11,62
MIR4306,0,0,0,0,0,0,0,0,0,0,0,0,0
ZIC5,187,167,46,24,4,37,88,140,77,149,130,102,134
ZIC2,347,268,112,57,7,42,59,84,30,73,103,69,128
PCCA,396,358,104,62,43,103,200,212,111,166,242,181,336
PCCA-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
GGACT,115,131,59,27,16,18,40,43,24,30,45,32,36
TMTC4,361,314,115,66,18,125,217,209,100,183,275,208,312
NALCN-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
NALCN,10,11,9,5,3,43,56,39,25,28,90,81,135
ITGBL1,29,20,10,5,0,0,3,0,0,1,2,0,0
FGF14,0,1,0,1,0,0,0,0,0,0,0,0,1
MIR2681,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR4705,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF14-IT1,0,0,0,0,0,0,0,0,0,0,0,0,0
FGF14-AS2,12,14,3,2,4,1,8,4,0,3,6,2,6
TPP2,703,773,201,81,27,227,437,598,304,630,854,604,1071
METTL21C,0,0,0,0,0,0,0,0,0,0,0,0,0
CCDC168,0,2,2,0,0,1,0,1,0,1,1,0,5
TEX30,119,94,35,12,30,48,64,98,47,81,141,104,157
KDELC1,228,232,68,38,17,63,97,97,37,81,142,104,182
BIVM,174,207,29,18,7,33,58,35,11,41,70,67,91
BIVM-ERCC5,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC5,10,12,3,0,0,12,13,23,11,18,12,11,12
METTL21EP,0,5,0,1,0,0,0,0,0,0,0,0,0
SLC10A2,0,0,0,0,0,0,0,0,0,0,0,0,0
MIR548AS,0,0,0,0,0,0,0,0,0,0,0,0,0
DAOA-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0
DAOA,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00343,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00460,0,0,0,0,1,0,0,8,0,5,1,3,3
EFNB2,10,3,3,1,0,8,11,155,61,142,56,53,48
ARGLU1,1660,1497,641,226,57,426,687,772,405,707,764,800,876
LINC00551,0,0,0,0,0,0,0,0,0,0,0,0,1
LINC00443,0,0,0,0,0,0,0,0,0,0,0,0,0
FAM155A,0,1,0,0,0,1,0,1,0,0,1,0,0
LIG4,161,186,65,26,0,57,118,254,120,269,229,206,353
ABHD13,108,145,29,12,10,76,159,197,101,186,275,203,290
TNFSF13B,7,15,4,1,0,0,1,35,21,29,92,74,119
MYO16,13,10,1,2,0,3,1,0,1,4,1,2,3
MYO16-AS1,12,6,1,2,2,2,0,0,1,3,2,1,4
IRS2,1522,1605,341,172,102,355,587,430,231,376,619,571,642
COL4A1,528,416,181,109,79,670,945,3523,1777,3147,1974,1677,1914
COL4A2,1802,1513,928,708,514,1659,2607,5868,3200,5669,3536,3620,2933
COL4A2-AS1,0,2,0,0,0,0,0,0,0,0,0,0,0
RAB20,149,133,53,44,8,15,19,29,15,24,18,13,11
CARS2,1520,983,378,240,434,244,371,484,241,447,419,361,519
ING1,223,198,62,37,24,78,96,131,83,161,136,131,163
LINC00346,5,7,1,1,0,0,2,9,3,10,4,4,4
ANKRD10,1431,1219,306,163,7,131,258,322,160,290,356,377,371
ARHGEF7,548,554,170,100,62,210,377,530,300,467,588,412,695
TEX29,12,3,1,2,0,1,0,1,0,4,4,0,0
SOX1,0,0,0,0,0,0,0,0,0,0,0,0,0
SPACA7,0,0,0,0,0,0,0,0,0,0,0,0,0
TUBGCP3,298,251,84,38,21,173,226,303,138,256,382,301,464
ATP11A,366,402,114,86,11,294,561,547,291,564,656,490,785
MCF2L-AS1,0,1,0,2,0,0,1,0,0,0,0,0,0
MCF2L,276,223,44,29,2,24,32,8,1,5,3,3,10
F7,337,261,15,13,0,1,10,0,0,0,2,1,4
F10,78,56,8,5,0,1,0,0,0,0,0,0,0
PROZ,27,25,6,9,0,0,0,0,0,0,0,0,0
PCID2,807,677,217,153,38,181,244,391,169,290,436,337,518
CUL4A,1090,1069,347,170,61,473,792,1273,594,1170,1395,1070,1496
LAMP1,2624,2293,796,528,425,813,1359,2058,1148,1935,1735,1538,1837
GRTP1,223,197,47,20,9,15,30,17,10,10,15,13,11
ADPRHL1,246,197,49,27,69,69,169,107,45,91,136,123,146
DCUN1D2,287,212,86,53,18,46,89,70,43,68,85,98,148
TMCO3,853,790,146,109,44,380,696,641,364,543,777,676,896
TFDP1,814,717,295,157,96,494,820,819,409,696,1169,893,1337
ATP4B,0,0,1,0,0,0,0,0,0,0,0,0,0
GRK1,0,0,0,0,0,0,0,0,0,0,0,0,0
LINC00552,0,0,0,0,0,0,0,0,0,0,0,2,1
TMEM255B,15,7,16,7,3,3,3,15,11,5,6,9,7
GAS6-AS1,63,41,4,0,5,6,20,3,1,1,8,4,5
GAS6,659,428,225,115,45,61,97,132,74,146,116,106,67
LINC00565,1,1,1,2,0,0,0,2,0,2,2,0,0
RASA3,368,309,132,68,22,87,161,384,215,355,331,255,315
CDC16,1070,1133,397,195,234,319,543,780,300,641,1082,723,1303
UPF3A,1133,956,367,187,161,194,290,326,145,285,350,432,399
CHAMP1,142,172,51,29,10,182,332,357,138,308,655,365,910
OR11H12,0,0,0,0,0,0,0,1,0,0,0,0,0
POTEG,0,0,0,0,0,0,0,0,0,0,0,0,0
POTEM,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11H2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4Q3,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4M1,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4N2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K2,0,0,0,0,0,0,1,0,0,0,0,0,0
OR4K5,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K1,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K15,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K14,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K13,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4L1,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4K17,0,0,0,0,0,0,0,0,0,0,0,0,0
OR4N5,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11G2,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11H6,0,0,0,0,0,0,0,0,0,0,0,0,0
OR11H4,0,0,0,0,0,0,0,0,0,0,0,0,0
TTC5,211,214,60,52,19,107,191,304,141,276,231,246,283
CCNB1IP1,1016,879,395,190,144,121,201,277,139,249,417,385,448
SNORD126,2,0,0,0,0,0,0,0,0,0,0,0,0
RPPH1,119,81,63,133,59,7,14,10,21,8,7,9,7
PARP2,587,477,146,104,86,234,378,340,138,306,684,487,833
TEP1,975,808,288,193,46,223,442,625,344,493,570,517,561
KLHL33,0,0,0,0,0,0,0,0,0,0,0,0,0
OSGEP,793,585,209,124,126,124,178,201,118,206,266,252,279
APEX1,5218,4124,1407,808,1128,1394,2394,1886,991,1593,3166,2672,3449
PNP,1723,1381,644,427,489,705,996,3387,1989,2933,2465,2035,2586
RNASE10,0,0,0,0,0,0,0,0,0,1,0,0,0
RNASE9,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE11,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE12,0,0,0,0,0,0,0,0,0,0,0,0,0
OR6S1,0,0,0,0,0,0,0,0,0,0,0,0,0
ANG,1408,916,283,134,160,72,165,58,35,47,139,63,160
RNASE4,2086,2618,393,224,43,167,462,119,73,88,321,178,476
EDDM3A,0,0,0,0,0,0,0,0,0,0,0,0,0
EDDM3B,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE6,0,0,0,0,0,0,0,0,0,0,0,0,0
RNASE1,3,3,0,1,2,0,2,0,3,0,1,0,1
