,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
KLHL10,1,1,0,1,2,0,0,3,2,1,1,0
KLHL11,43,73,72,16,25,38,95,199,407,57,80,51
ACLY,4944,9493,9999,2297,2556,2336,2781,5573,12693,3229,2994,1498
TTC25,17,33,31,5,1,1,1,1,14,0,2,1
CNP,559,1015,481,216,456,437,515,921,1840,358,602,282
DNAJC7,506,1146,1978,223,525,521,693,1410,2805,740,698,339
NKIRAS2,246,462,222,67,313,356,424,687,1610,394,352,189
ZNF385C,2,3,11,2,0,0,0,0,21,0,4,8
DHX58,2,8,42,14,20,17,27,31,164,53,120,43
KAT2A,456,891,973,311,373,374,448,810,1501,349,503,251
HSPB9,0,0,0,0,1,1,0,0,8,1,2,3
RAB5C,997,1914,2149,448,945,953,1110,2010,5204,1214,1177,585
KCNH4,2,5,6,0,0,0,0,0,0,0,0,0
HCRT,0,0,0,0,0,0,0,0,0,1,2,0
GHDC,101,210,59,36,41,39,62,80,191,47,60,17
STAT5B,267,563,494,98,147,141,141,300,730,172,204,105
STAT5A,13,27,31,3,12,8,6,19,63,24,19,17
STAT3,919,1685,1693,414,562,545,593,1261,3777,889,1169,591
ATP6V0A1,239,461,365,117,320,352,293,623,2065,454,623,305
MIR5010,1,0,0,1,1,0,0,0,7,0,0,0
NAGLU,227,415,81,70,98,116,203,309,576,129,132,71
HSD17B1,66,147,55,33,15,17,35,42,70,21,16,7
COASY,534,911,398,205,329,282,428,802,1816,469,509,224
MLX,234,496,421,112,284,311,421,797,1792,432,341,175
PSMC3IP,59,120,143,33,41,39,31,37,133,26,30,23
TUBG1,463,1040,925,239,604,615,662,1107,2140,549,469,234
TUBG2,97,199,176,43,98,89,105,178,359,70,55,33
