,Series4_A549_Mock_1,Series4_A549_Mock_2,Series4_A549_IAV_1,Series4_A549_IAV_2,Series9_NHBE_Mock_1,Series9_NHBE_Mock_2,Series9_NHBE_Mock_3,Series9_NHBE_Mock_4,Series9_NHBE_IAV_1,Series9_NHBE_IAV_2,Series9_NHBE_IAV_3,Series9_NHBE_IAV_4
PLAC9,0,0,1,1,4,1,1,5,8,1,6,3
ANXA11,804,1509,1096,329,1672,1796,1604,3118,7352,1500,1519,864
LINC00857,54,87,93,22,27,30,18,65,100,24,16,18
MAT1A,0,0,0,0,0,0,0,0,3,0,0,1
DYDC1,0,0,0,0,0,0,0,0,0,0,0,0
DYDC2,0,1,0,0,0,1,0,0,1,0,0,0
TSPAN14,1000,1755,1149,414,1221,1174,1186,2491,6284,1483,1166,587
SH2D4B,0,0,1,0,1,0,0,0,7,0,0,0
NRG3,0,0,0,0,0,0,0,0,0,0,0,0
GHITM,1190,2277,2723,557,888,978,1862,3572,6260,1479,1667,791
C10orf99,0,0,2,0,0,4,4,1,2,0,15,7
CDHR1,6,6,7,0,28,22,36,50,22,10,29,17
LRIT2,0,0,0,0,0,0,0,0,0,0,0,0
LRIT1,0,0,0,0,0,0,0,0,0,0,0,0
RGR,0,0,0,0,0,0,0,0,0,0,0,0
LINC00858,6,11,10,0,0,0,0,0,0,0,0,0
CCSER2,151,335,577,78,179,163,195,484,1441,254,360,210
GRID1-AS1,0,1,1,0,0,0,0,0,0,0,0,0
GRID1,9,24,17,5,0,0,1,1,0,1,1,0
MIR346,0,0,0,0,0,0,0,0,0,0,0,0
OPN4,0,0,0,0,0,0,0,0,0,0,0,0
LDB3,3,3,0,1,3,0,1,1,3,2,2,2
BMPR1A,147,307,448,100,79,80,110,202,425,101,138,76
MMRN2,2,0,3,1,14,12,23,46,92,17,11,11
SNCG,19,46,77,11,122,139,259,458,248,67,147,46
ADIRF,5,8,0,0,432,562,1395,2641,1488,297,244,117
AGAP11,2,2,0,0,4,8,5,15,22,5,14,5
FAM25A,0,0,0,0,26,23,77,133,64,20,42,23
GLUD1,725,1300,1263,323,687,795,1130,2391,4285,972,991,568
MIR4678,0,0,0,0,1,0,0,0,0,0,0,0
MINPP1,195,345,325,76,102,99,204,399,892,130,262,110
PAPSS2,161,294,375,91,46,36,51,97,303,61,56,41
ATAD1,207,485,649,153,301,318,488,1003,2489,440,699,400
CFL1P1,0,1,2,0,0,0,0,3,2,0,3,0
KLLN,12,20,16,3,1,3,6,10,10,4,7,5
PTEN,306,625,719,131,169,186,324,627,1242,246,285,167
RNLS,41,68,71,12,22,35,60,111,162,43,37,33
LIPJ,0,0,5,0,0,0,0,1,0,0,0,0
LIPF,0,0,0,0,0,0,0,0,0,0,0,0
LIPK,0,0,0,0,1,1,3,13,0,2,7,3
LIPN,0,0,0,0,1,0,1,1,0,0,0,0
LIPM,0,0,0,0,0,0,1,0,0,0,1,0
ANKRD22,1,6,9,0,56,71,131,284,200,27,104,65
STAMBPL1,101,216,418,78,19,21,34,75,207,57,23,20
ACTA2,87,191,128,29,23,28,34,38,96,36,36,15
FAS,73,209,231,40,126,141,296,584,1108,237,327,150
FAS-AS1,1,1,0,0,0,0,0,0,0,0,0,0
MIR4679-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR4679-1,0,0,0,0,0,0,0,0,0,0,0,0
CH25H,0,0,3,5,1,1,2,0,29,3,1,1
LIPA,554,1129,1673,392,421,379,748,1519,3623,619,1076,559
IFIT2,36,148,484,89,17,15,21,45,847,183,1580,540
IFIT3,37,203,201,34,25,24,37,70,821,227,1798,543
IFIT1B,0,0,0,0,0,0,0,0,0,0,0,0
IFIT1,91,391,349,52,23,7,28,50,1038,319,2281,770
IFIT5,98,244,330,52,79,78,133,300,670,146,286,150
SLC16A12,0,1,0,0,2,1,0,2,6,0,1,1
PANK1,60,132,174,45,31,30,47,92,146,42,52,36
MIR107,0,0,0,0,0,0,0,0,0,0,0,0
FLJ37201,5,15,22,4,0,1,1,4,0,0,1,0
KIF20B,302,756,1718,205,108,125,144,266,657,119,138,84
HTR7,0,0,5,0,73,61,119,213,434,121,119,52
RPP30,163,353,443,96,146,141,219,398,660,148,180,83
ANKRD1,14,28,77,19,0,1,1,7,56,12,4,3
LINC00502,0,0,0,0,0,0,0,0,0,0,0,0
NUDT9P1,1,0,4,0,0,0,0,0,1,0,2,0
PCGF5,186,365,560,123,87,91,98,194,650,98,183,116
HECTD2,57,133,179,45,27,17,19,67,178,17,48,33
PPP1R3C,88,183,137,37,17,27,95,145,212,33,172,92
TNKS2,326,657,831,161,252,300,399,1018,2402,533,721,434
FGFBP3,40,51,25,9,0,1,1,5,4,3,4,1
BTAF1,303,595,891,135,200,174,237,505,1238,322,477,272
CPEB3,6,14,26,2,16,11,17,35,64,18,29,14
MARCH5,162,309,324,86,241,284,491,1002,2075,362,538,267
MARK2P9,2,0,3,0,1,0,1,2,2,0,2,1
IDE,352,707,1042,186,226,199,294,658,1741,322,435,223
KIF11,571,1273,1681,309,110,143,77,158,552,113,65,42
HHEX,73,174,146,57,3,4,5,5,14,1,3,1
EXOC6,153,328,468,61,20,28,62,129,263,47,66,35
CYP26C1,0,0,0,2,0,0,0,0,0,0,3,0
CYP26A1,1,16,20,5,0,0,0,0,0,0,0,0
MYOF,3982,7851,10615,1998,2755,2714,2725,5720,16154,3637,4644,2710
CEP55,746,1948,3159,455,146,127,75,193,602,100,40,14
FFAR4,6,11,11,1,0,0,0,0,0,0,0,0
RBP4,5,14,22,5,1,1,0,0,7,2,0,0
PDE6C,0,1,2,0,0,0,0,4,2,1,1,0
FRA10AC1,99,329,289,46,99,119,168,273,509,115,151,71
LGI1,0,0,0,0,0,0,0,0,0,0,0,0
SLC35G1,22,80,91,19,27,20,52,111,266,49,72,33
PIPSL,3,5,2,0,2,0,3,4,16,7,6,1
PLCE1,129,274,299,64,19,22,13,38,91,29,20,11
NOC3L,178,427,563,111,113,104,192,441,1028,186,278,137
TBC1D12,43,121,134,22,33,44,55,154,391,73,88,65
HELLS,178,438,662,93,38,38,42,92,179,20,14,13
CYP2C18,1,2,2,0,4,7,10,33,8,5,14,13
CYP2C19,0,1,1,0,0,0,0,1,0,0,1,0
CYP2C9,1,1,2,3,0,0,0,0,1,0,3,0
CYP2C8,0,0,2,0,1,1,0,1,1,4,2,4
PDLIM1,526,1068,1633,396,2107,2316,2146,3899,9168,2356,1764,717
SORBS1,13,28,44,4,3,7,3,6,37,12,6,2
ALDH18A1,392,715,752,183,533,504,689,1320,2688,617,675,386
TCTN3,306,626,609,188,208,238,314,584,1300,235,404,169
ENTPD1,69,153,150,29,79,70,103,186,351,103,131,55
CC2D2B,0,0,0,0,1,0,0,3,0,0,1,1
CCNJ,57,112,144,36,41,43,67,154,338,84,74,65
MIR3157,0,0,0,0,0,0,0,0,0,0,0,0
ZNF518A,160,356,572,80,74,83,143,282,777,138,215,143
BLNK,0,0,0,0,23,22,48,96,48,15,55,22
DNTT,2,1,0,0,0,0,0,0,0,0,0,0
OPALIN,0,0,1,0,0,0,0,0,2,0,0,0
TLL2,1,2,7,2,5,7,18,16,30,16,35,26
TM9SF3,843,1566,1996,416,564,584,1335,3029,7165,1244,2129,1185
PIK3AP1,11,28,33,8,0,0,0,1,4,0,0,1
LCOR,87,154,238,41,123,94,116,315,1107,174,178,150
SLIT1,5,8,2,2,4,1,0,2,1,0,8,3
ARHGAP19-SLIT1,0,0,0,0,0,0,0,0,0,0,0,0
ARHGAP19,49,91,80,24,46,60,46,87,371,79,71,24
FRAT1,19,42,10,5,6,5,13,27,35,4,9,5
FRAT2,41,76,39,9,46,56,78,138,174,40,41,19
RRP12,286,451,314,166,327,296,444,811,1998,497,394,194
PGAM1,434,816,544,195,1131,1325,1528,2870,7259,1687,1786,810
EXOSC1,125,267,263,62,130,131,181,314,617,157,114,55
ZDHHC16,247,475,315,112,395,347,356,673,1445,330,276,132
MMS19,382,770,442,190,441,406,514,894,2055,522,473,205
UBTD1,49,104,38,37,169,173,194,358,689,139,122,49
ANKRD2,21,25,26,5,11,3,13,10,44,4,1,3
HOGA1,24,64,14,4,3,3,4,5,12,2,0,1
C10orf62,0,0,0,0,0,0,0,0,0,0,0,0
MIR5692C2,0,1,0,0,0,0,0,0,0,0,0,0
MORN4,43,120,90,35,38,45,56,125,237,49,65,28
PI4K2A,297,557,476,150,617,635,729,1378,3710,843,847,356
AVPI1,247,480,297,143,203,206,275,467,931,208,273,136
MARVELD1,270,551,265,98,593,593,634,1193,2891,623,620,283
ZFYVE27,128,207,74,29,171,168,190,342,742,164,190,69
SFRP5,7,9,3,3,0,0,0,0,0,0,0,0
GOLGA7B,17,33,33,16,28,13,31,64,212,46,40,8
CRTAC1,1,4,4,1,1,0,1,0,1,0,0,0
R3HCC1L,87,185,223,42,80,74,103,213,606,134,166,74
LOXL4,9,23,13,5,0,2,1,3,3,1,0,0
PYROXD2,41,84,55,12,16,15,9,15,72,14,19,7
MIR1287,0,0,0,0,0,0,0,0,0,0,0,0
HPS1,178,280,115,68,242,255,281,527,1390,311,319,134
MIR4685,0,0,0,0,0,0,0,0,0,0,0,0
HPSE2,0,0,0,0,0,0,0,0,7,0,0,0
CNNM1,207,356,298,83,0,3,0,0,10,2,12,0
GOT1,273,485,506,171,226,234,288,563,1462,353,249,117
NKX2-3,1,1,2,0,0,0,0,0,0,0,0,0
SLC25A28,87,186,116,32,165,171,178,305,737,215,226,87
ENTPD7,70,128,99,23,191,188,307,713,1967,438,287,159
COX15,349,560,569,158,175,183,267,507,1173,300,321,153
CUTC,101,228,194,60,52,94,103,202,374,99,89,43
ABCC2,2766,5112,5328,1098,13,4,12,28,69,19,29,12
DNMBP,340,664,862,164,280,275,219,473,1548,365,305,163
DNMBP-AS1,0,1,4,1,0,0,1,1,0,0,0,1
CPN1,0,1,5,0,0,0,0,0,0,0,0,0
ERLIN1,421,856,1069,232,297,292,324,656,1793,405,563,233
CHUK,148,336,478,81,130,123,195,449,1212,226,330,168
CWF19L1,138,268,374,71,108,120,157,290,520,150,171,89
SNORA12,0,1,1,1,0,1,1,0,1,0,1,0
BLOC1S2,228,474,560,111,227,274,603,1130,2088,399,499,246
PKD2L1,1,0,1,0,0,0,0,1,0,0,0,0
SCD,9831,20587,17778,4610,11118,11465,12845,25270,38131,9466,10377,4917
WNT8B,1,0,2,0,0,0,0,1,10,1,0,0
SEC31B,26,60,31,8,27,22,29,43,91,18,28,27
NDUFB8,381,710,398,122,520,605,735,1244,2339,552,466,211
HIF1AN,337,640,399,119,230,235,279,638,1721,406,386,217
PAX2,2,8,2,0,0,0,0,0,0,0,0,0
SEMA4G,70,96,50,14,16,24,29,38,49,11,24,16
MIR608,0,0,0,0,0,0,0,0,0,0,0,0
MRPL43,261,551,315,151,304,264,432,809,1469,310,361,130
LZTS2,213,386,132,70,472,507,619,1069,1647,356,477,213
PDZD7,3,6,1,0,11,12,13,23,45,13,10,4
SFXN3,223,439,211,87,443,401,384,782,1832,457,392,179
KAZALD1,22,32,12,4,2,2,2,7,14,3,11,6
TLX1NB,2,0,0,0,0,1,0,0,0,0,0,0
TLX1,0,0,0,0,6,8,4,6,19,2,1,2
LBX1,0,0,0,0,0,0,0,0,0,0,0,0
BTRC,124,289,285,64,197,188,196,373,908,196,272,152
POLL,123,217,48,37,129,141,166,303,482,106,118,58
DPCD,41,71,121,26,121,122,186,303,487,161,156,55
MIR3158-2,0,0,0,0,0,0,0,0,0,0,0,0
MIR3158-1,0,0,0,0,0,0,0,0,0,0,0,0
FBXW4,199,378,129,48,155,183,168,260,614,132,182,96
FGF8,0,0,0,0,0,0,0,1,1,0,0,0
NPM3,222,369,171,87,239,236,343,563,1123,250,296,115
KCNIP2,3,4,3,4,2,0,4,4,2,0,4,0
HPS6,166,242,75,44,200,190,293,584,1132,259,213,128
LDB1,212,503,269,77,893,847,788,1401,3410,755,946,410
PPRC1,268,516,532,190,374,438,355,705,2222,503,402,235
NOLC1,940,1806,3356,564,1318,1255,1699,3379,6662,1519,1999,1028
ELOVL3,2,5,4,4,1,5,2,4,11,2,3,2
PITX3,0,1,3,0,1,2,0,2,4,0,2,0
GBF1,449,789,665,169,728,668,523,1155,3820,935,815,425
NFKB2,467,870,555,282,370,370,398,820,1663,364,321,153
PSD,2,3,6,0,0,0,2,6,4,1,2,2
FBXL15,52,111,24,20,93,83,156,261,298,66,105,45
CUEDC2,210,276,173,77,227,261,316,573,1103,199,262,123
MIR146B,0,0,0,0,0,0,0,0,0,0,0,0
C10orf95,3,6,1,0,7,10,23,46,27,1,5,6
ACTR1A,638,1127,1092,334,1467,1448,1611,3223,6705,1736,1544,764
SUFU,90,168,81,33,119,136,114,194,506,128,187,98
TRIM8,189,340,209,78,344,336,420,804,1772,381,329,162
ARL3,264,569,584,99,112,96,131,188,546,140,144,64
SFXN2,27,47,24,16,20,35,14,38,90,32,10,6
WBP1L,281,408,283,96,286,279,357,727,1766,403,447,204
CYP17A1,0,0,0,0,0,1,0,0,0,0,0,0
AS3MT,0,0,0,0,0,0,0,0,0,0,0,0
CNNM2,91,144,128,37,15,26,26,42,79,22,32,8
NT5C2,532,1183,1796,298,650,695,972,1853,3377,810,1020,501
INA,285,550,904,219,14,7,20,34,96,25,40,29
PCGF6,54,90,156,24,40,37,59,117,274,48,79,49
TAF5,34,69,88,17,30,26,45,69,167,32,46,23
MIR1307,0,0,0,0,0,0,0,0,0,0,0,0
PDCD11,364,633,575,162,594,570,701,1407,3491,954,963,506
CALHM2,17,15,11,4,13,15,20,32,41,15,16,4
CALHM1,0,0,0,0,1,1,0,1,0,0,0,0
CALHM3,1,2,2,1,1,1,0,0,2,0,0,0
SH3PXD2A,75,127,96,24,1140,1041,948,1948,6208,1428,1124,615
SLK,427,1054,1816,250,808,858,1147,2452,5545,1101,1639,982
COL17A1,4,17,12,3,13375,12634,13314,26098,69545,16875,17919,9211
MIR936,0,0,0,0,2,1,0,0,1,0,0,2
SFR1,75,145,237,54,50,47,93,198,386,53,40,32
MIR609,0,0,0,0,0,0,0,0,0,0,0,0
GSTO1,437,822,519,206,737,853,1679,3085,5824,1452,935,446
GSTO2,8,12,13,3,79,84,137,249,309,89,79,42
ITPRIP,193,339,229,87,358,356,377,723,1696,363,338,166
SORCS3,0,1,0,0,0,3,0,0,0,0,0,0
SORCS1,0,0,0,0,0,0,0,2,2,0,0,0
XPNPEP1,202,348,383,90,419,443,487,1003,2275,559,690,320
ADD3,93,227,279,40,158,136,220,462,1131,215,401,234
MXI1,59,168,200,28,154,162,220,382,697,157,320,134
SMNDC1,125,278,629,80,115,148,290,627,1271,266,273,143
DUSP5,238,414,454,192,181,210,345,694,1743,423,225,119
SMC3,624,1675,2452,338,295,297,311,589,1447,307,254,134
RBM20,49,97,73,14,0,3,1,2,5,0,5,2
PDCD4,178,375,384,59,355,388,651,1327,1796,347,1003,410
MIR4680,0,0,0,0,0,0,0,0,0,0,0,0
BBIP1,86,256,383,37,56,56,71,133,238,62,48,26
SHOC2,150,400,558,101,162,168,227,566,1581,252,316,198
RPL13AP6,0,0,0,0,0,0,0,0,2,0,1,0
ADRA2A,0,0,4,0,0,0,0,0,0,0,0,0
GPAM,68,183,172,34,112,97,143,248,939,182,252,134
TECTB,0,0,0,0,0,0,0,0,0,0,0,0
GUCY2GP,0,0,0,0,0,0,0,0,0,0,0,0
ACSL5,2,2,2,1,0,3,1,5,7,2,2,1
ZDHHC6,227,508,727,139,202,209,287,602,1036,272,242,128
VTI1A,123,235,290,40,118,124,137,313,752,173,210,115
MIR4295,0,0,0,0,0,0,0,0,0,0,0,0
TCF7L2,137,247,353,45,96,89,80,143,336,71,70,30
HABP2,2,7,5,0,0,1,1,0,0,0,1,0
NRAP,0,1,0,0,0,0,0,0,1,0,0,0
CASP7,136,323,264,64,175,208,229,534,1255,307,316,172
PLEKHS1,0,0,10,1,2,0,0,0,5,0,6,1
MIR4483,0,0,0,0,0,0,0,0,0,0,0,0
DCLRE1A,189,327,445,103,50,62,69,143,352,80,128,41
NHLRC2,123,230,343,63,39,54,66,147,506,86,111,77
ADRB1,12,24,8,5,0,0,1,1,5,2,1,0
MIR2110,0,0,0,0,0,0,0,0,0,0,0,0
TDRD1,0,0,0,0,1,2,5,5,13,1,0,1
VWA2,2,2,5,0,26,23,40,52,103,21,38,22
AFAP1L2,199,382,381,104,366,372,426,859,1708,416,350,191
ABLIM1,423,815,861,168,448,431,685,1323,2783,568,1232,700
FAM160B1,95,197,244,63,86,76,129,310,741,151,188,102
TRUB1,113,230,558,86,90,112,130,370,802,132,223,146
ATRNL1,3,3,0,0,0,0,1,0,0,0,0,2
GFRA1,32,34,47,12,0,0,0,0,0,1,0,0
CCDC172,0,0,0,0,0,0,0,0,0,0,0,0
PNLIPRP3,0,0,0,0,107,104,323,625,1078,211,352,170
PNLIP,0,0,3,0,0,0,0,0,3,2,2,1
PNLIPRP1,0,0,0,0,0,0,0,0,0,0,0,0
PNLIPRP2,0,0,0,0,0,0,0,0,0,0,0,0
C10orf82,0,1,2,0,0,0,0,0,4,0,1,2
HSPA12A,184,301,330,99,15,11,15,42,112,26,52,24
ENO4,10,10,23,1,3,2,3,3,6,3,3,0
VAX1,13,38,14,4,0,0,2,1,4,0,1,0
MIR3663,0,0,0,0,0,0,0,0,0,0,0,0
KCNK18,0,0,0,0,0,0,0,0,0,0,0,0
SLC18A2,43,77,167,38,27,36,80,155,303,39,66,23
PDZD8,452,953,1010,184,160,202,305,616,1713,359,418,247
EMX2OS,0,0,0,1,0,0,0,1,0,0,0,0
EMX2,0,0,0,0,0,0,0,0,0,0,0,0
RAB11FIP2,132,240,350,77,52,54,62,168,402,67,94,79
CASC2,11,22,21,5,1,7,4,6,10,1,5,2
FAM204A,131,269,232,57,155,160,225,423,859,200,142,90
PRLHR,0,0,1,0,0,0,0,0,0,0,0,0
CACUL1,188,394,399,81,256,269,363,746,1879,366,454,221
NANOS1,23,39,56,14,9,12,13,29,26,12,8,7
EIF3A,1992,4346,6052,779,2014,1898,2191,4566,11927,3182,2893,1686
SNORA19,0,0,0,0,0,0,0,0,0,0,0,0
FAM45A,0,0,0,0,2,0,3,2,11,2,3,2
SFXN4,113,270,285,66,138,144,210,358,821,181,188,57
PRDX3,1201,2376,1805,712,550,597,1313,2490,4921,956,1145,495
GRK5,64,113,107,21,93,99,134,257,722,178,89,76
MIR4681,0,0,0,0,0,0,0,0,0,0,0,0
RGS10,155,282,430,78,194,263,274,479,770,173,167,67
TIAL1,304,698,864,197,354,390,643,1227,2576,509,590,327
BAG3,478,933,1371,322,1461,1556,1542,2997,8406,1800,1816,982
INPP5F,80,233,263,56,157,159,183,367,901,194,217,125
MCMBP,510,1104,1240,245,405,363,478,924,1984,495,551,232
SEC23IP,407,827,1371,221,314,314,489,968,2699,505,575,333
MIR4682,0,0,0,0,0,0,0,0,0,0,0,0
MIR5694,0,0,0,0,0,0,0,0,0,0,0,0
WDR11-AS1,0,0,0,0,0,0,0,0,0,1,0,0
WDR11,297,598,651,169,313,298,496,980,2428,501,652,332
FGFR2,2,10,3,1,68,77,79,167,413,90,111,47
ATE1,140,320,390,70,96,136,144,324,791,136,159,101
NSMCE4A,318,736,776,197,105,119,165,284,420,94,120,60
TACC2,435,800,793,194,231,205,242,481,999,253,300,166
BTBD16,5,7,13,4,0,2,0,4,0,0,1,0
PLEKHA1,180,369,498,110,380,426,560,1340,2811,494,832,547
MIR3941,0,0,0,0,0,0,0,0,0,0,0,0
ARMS2,0,3,0,0,1,0,0,0,0,0,0,0
HTRA1,214,343,469,112,367,376,794,1374,1373,360,641,311
DMBT1,0,2,4,0,1,0,1,1,9,4,4,0
C10orf120,0,0,0,0,0,0,0,0,0,0,0,0
CUZD1,0,0,0,0,0,0,0,0,0,0,0,0
FAM24B-CUZD1,0,0,0,0,0,0,0,0,0,0,0,0
FAM24B,7,19,36,8,12,11,14,18,33,13,15,5
LOC399815,22,55,106,15,10,3,3,9,34,2,5,5
FAM24A,0,0,0,0,0,0,1,0,0,0,0,0
C10orf88,54,124,128,33,44,57,99,236,504,84,106,61
PSTK,13,29,55,17,13,27,38,54,69,17,20,11
IKZF5,43,133,220,33,36,38,79,215,424,63,97,81
ACADSB,128,324,403,84,63,56,66,158,285,48,73,52
HMX3,0,0,0,0,0,0,0,0,0,0,0,0
HMX2,0,0,1,0,0,0,0,0,0,0,0,0
BUB3,848,1626,1998,433,463,567,929,1939,3536,724,716,377
GPR26,0,0,2,0,0,0,0,0,0,0,0,0
CPXM2,0,0,0,0,1,0,0,0,3,0,1,0
CHST15,237,410,433,106,237,275,288,568,1786,353,335,207
OAT,303,685,731,199,1121,1246,1881,4064,8637,2002,1394,755
NKX1-2,0,0,0,0,24,21,32,67,273,50,23,11
LHPP,31,79,50,16,50,50,57,118,206,49,83,39
FAM53B,105,186,82,37,231,227,260,448,1032,235,291,161
ZRANB1,151,266,392,71,159,137,151,331,813,176,210,105
CTBP2,444,899,1056,225,742,787,862,1760,4167,954,815,535
MIR4296,0,0,0,0,0,0,0,0,0,0,0,0
TEX36,0,0,0,0,0,0,0,0,0,0,0,0
LOC283038,0,0,2,0,0,0,1,0,0,0,0,0
FLJ37035,2,5,1,0,1,0,0,0,1,0,2,1
MMP21,0,1,1,0,0,0,1,0,0,0,0,0
UROS,149,320,289,63,143,175,240,464,735,157,182,87
MIR4484,0,0,0,0,0,0,0,0,0,0,0,0
BCCIP,330,766,1146,176,389,426,684,1181,2101,494,548,291
DHX32,220,437,483,100,211,243,348,675,1603,416,398,194
FANK1,11,20,20,3,28,33,36,54,137,36,32,18
ADAM12,9,21,21,4,17,9,19,48,101,37,34,19
LINC00601,0,0,0,0,0,1,1,1,0,0,2,0
C10orf90,3,3,16,0,0,0,1,0,2,0,0,0
DOCK1,493,974,1124,238,129,119,166,292,581,158,221,85
NPS,0,0,0,0,0,0,0,0,0,0,0,0
FOXI2,0,0,0,0,0,0,0,0,0,0,0,0
CLRN3,0,0,0,0,0,0,0,0,0,0,0,0
PTPRE,6,7,3,7,136,119,167,298,800,168,163,85
MKI67,1872,3793,5755,848,411,342,108,249,1488,345,62,32
MGMT,42,60,46,19,135,144,191,374,579,134,161,75
EBF3,2,2,6,0,0,1,0,0,4,0,0,0
MIR4297,0,0,0,0,0,0,0,0,0,0,0,0
CTAGE7P,7,21,17,1,0,0,0,1,1,0,0,0
GLRX3,458,973,1391,316,624,710,1161,2361,4741,958,947,453
MIR378C,0,0,0,0,0,0,0,0,0,0,0,0
TCERG1L,0,1,0,0,0,0,1,0,0,0,0,0
PPP2R2D,148,267,387,56,241,234,295,588,1154,212,246,129
BNIP3,239,593,669,104,781,743,1029,2005,4010,854,1378,729
JAKMIP3,69,122,126,29,0,2,0,1,2,1,3,6
DPYSL4,47,65,29,15,87,87,99,183,591,116,124,52
STK32C,98,137,142,40,26,29,46,63,91,24,31,22
LRRC27,41,64,69,25,18,16,18,46,88,28,26,12
PWWP2B,86,128,32,30,157,165,187,394,634,98,190,94
C10orf91,28,50,21,4,1,1,4,7,9,1,4,3
INPP5A,66,152,155,57,104,117,132,254,745,165,127,84
NKX6-2,0,0,0,0,0,0,0,0,0,0,0,0
KNDC1,23,34,20,6,1,2,1,0,5,1,0,0
UTF1,0,0,0,0,0,0,0,0,0,0,0,0
VENTX,0,0,0,0,0,0,0,0,0,0,0,0
MIR202,0,0,0,0,0,0,0,0,0,0,0,0
ADAM8,13,27,13,14,210,227,274,533,2203,453,215,146
TUBGCP2,406,787,633,193,571,493,653,1225,2939,667,577,275
ZNF511,92,148,172,64,62,51,65,99,311,52,36,16
CALY,1,1,0,0,0,0,1,0,0,0,0,0
PRAP1,0,1,0,0,0,0,0,0,0,0,0,0
FUOM,16,32,17,15,52,57,105,141,221,42,49,23
ECHS1,583,891,843,277,546,580,972,1597,2749,651,678,289
MIR3944,0,0,1,0,0,0,0,2,2,0,0,0
PAOX,20,39,13,3,25,17,48,71,112,8,19,12
MTG1,228,439,259,87,129,134,205,364,736,206,154,73
SPRN,35,34,10,7,1,4,1,3,3,1,0,1
CYP2E1,0,2,6,0,14,13,13,30,32,12,12,14
SYCE1,0,0,0,1,0,0,0,0,6,0,1,0
SPRNP1,0,0,0,0,0,0,0,1,0,0,0,0
FRG2B,0,0,0,0,0,0,0,0,0,0,0,0
DUX4,0,0,0,0,0,0,0,0,0,0,0,0
SCGB1C1,0,0,0,0,0,0,0,0,0,0,0,0
ODF3,0,0,0,0,0,0,0,0,0,0,0,0
BET1L,196,384,129,56,362,417,401,770,1736,449,474,190
RIC8A,410,825,419,186,924,931,1182,2211,4985,1447,1133,554
SIRT3,134,248,137,34,50,71,51,93,194,44,60,24
PSMD13,522,953,1266,301,990,1097,1483,2832,5391,1396,1231,671
NLRP6,0,0,1,0,0,0,0,1,0,0,1,0
IFITM5,0,0,0,0,0,0,0,0,2,0,0,0
IFITM2,66,201,122,38,117,130,146,239,501,120,187,81
IFITM1,11,21,3,0,25,16,23,29,127,38,424,116
IFITM3,21,65,10,6,1069,1206,835,1397,4270,1229,1654,605
B4GALNT4,75,119,61,22,383,356,577,919,1252,297,512,248
PKP3,282,545,143,88,1971,2095,2777,5116,7599,1777,1991,1121
SIGIRR,144,269,139,102,23,34,41,69,132,32,19,14
ANO9,0,2,0,2,412,398,544,894,1258,265,374,168
PTDSS2,163,335,184,85,308,295,445,788,1425,351,401,198
RNH1,753,1404,480,303,1145,1270,1665,2971,5801,1274,1530,739
HRAS,155,258,241,93,477,554,765,1332,2833,791,385,188
LRRC56,5,16,1,0,6,8,9,23,40,5,9,6
RASSF7,172,295,101,62,361,379,617,1164,1425,306,326,146
MIR210HG,7,14,1,0,108,131,191,292,590,145,229,86
MIR210,3,3,0,0,4,3,10,16,5,2,11,4
LOC143666,8,11,3,1,4,8,8,2,8,0,10,0
PHRF1,282,605,364,116,548,566,606,1192,2596,535,524,278
IRF7,22,60,23,5,50,46,48,88,458,108,302,100
CDHR5,4,3,1,0,0,0,0,1,0,0,1,0
SCT,0,1,0,0,0,0,0,0,0,0,0,0
DRD4,0,2,0,0,2,0,1,0,5,0,1,0
DEAF1,86,155,157,51,120,106,133,268,494,106,150,70
TMEM80,73,117,56,22,61,63,73,153,302,64,88,45
EPS8L2,733,1328,515,213,1885,1667,2255,3939,5420,1270,1629,874
TALDO1,1937,4128,3280,900,1258,1403,1854,3388,5786,1315,1399,663
CEND1,9,9,5,6,1,0,0,3,2,1,0,0
SLC25A22,93,178,41,44,242,243,246,538,1130,224,209,99
RPLP2,3108,6307,3538,1649,3885,4069,5824,9221,14212,4156,4309,1894
SNORA52,3,0,0,0,1,0,4,10,11,2,2,0
PNPLA2,233,450,192,113,296,281,328,609,1245,227,288,144
CD151,1628,2819,1091,685,2734,2775,3509,6321,12186,3253,3311,1340
POLR2L,1051,2404,1129,291,1228,1203,1523,2499,5291,1342,1230,561
TSPAN4,571,993,200,155,319,326,410,709,1729,456,337,157
CHID1,180,385,142,80,240,256,339,617,1795,382,505,230
AP2A2,385,844,784,219,447,414,537,1041,2805,614,668,328
MUC6,2,5,1,0,0,1,0,0,0,2,1,0
MUC2,0,4,6,1,0,0,0,0,2,0,0,0
MUC5B,137,274,152,54,0,0,0,1,0,1,0,0
TOLLIP,215,403,237,80,614,635,781,1477,3279,703,741,418
BRSK2,41,85,42,19,2,1,4,7,0,0,5,6
MOB2,92,212,94,32,188,174,209,419,660,196,164,66
DUSP8,8,18,10,5,15,16,17,35,92,21,24,4
KRTAP5-1,0,2,0,0,0,0,0,0,1,1,0,0
KRTAP5-2,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP5-3,0,0,0,0,0,0,0,0,0,0,0,0
KRTAP5-4,0,0,0,0,0,0,0,0,0,0,0,0
